Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Melaza,%,2.0,-0.3522,3.0,3.271703486523548,-0.27170348652354814,9.05678288411827
Melaza,%,2.0,-0.347,3.02,3.266992880727065,-0.24699288072706516,8.17857220950547
Melaza,%,2.0,-0.3418,3.05,3.2633924887685555,-0.21339248876855565,6.996475041591989
Melaza,%,2.0,-0.3365,3.08,3.260872574205618,-0.1808725742056181,5.872486175507081
Melaza,%,2.0,-0.3312,3.1,3.259520665760803,-0.15952066576080304,5.14582792776784
Melaza,%,2.0,-0.3259,3.12,3.2593441036848176,-0.13934410368481753,4.466157169385177
Melaza,%,2.0,-0.3206,3.16,3.2603501810538615,-0.1003501810538614,3.1756386409449804
Melaza,%,2.0,-0.3152,3.18,3.2625990607999067,-0.08259906079990653,2.5974547421354255
Melaza,%,2.0,-0.3098,3.2,3.2660907641367083,-0.06609076413670811,2.0653363792721287
Melaza,%,2.0,-0.3044,3.22,3.2708328536955382,-0.05083285369553803,1.5786600526564603
Melaza,%,2.0,-0.299,3.25,3.2768328412707834,-0.026832841270783447,0.8256258852548752
Melaza,%,2.0,-0.2936,3.29,3.284098187819945,0.005901812180054922,0.17938638845151736
Melaza,%,2.0,-0.2881,3.31,3.292806466630691,0.017193533369308955,0.5194420957495153
Melaza,%,2.0,-0.2826,3.34,3.3028428656990183,0.037157134300981554,1.1124890509275915
Melaza,%,2.0,-0.2771,3.36,3.3142151055699363,0.045784894430063616,1.3626456675614174
Melaza,%,2.0,-0.2715,3.38,3.327174530712327,0.052825469287673066,1.5628837067358896
Melaza,%,2.0,-0.266,3.43,3.3412660308765623,0.0887339691234379,2.5869961843567895
Melaza,%,2.0,-0.2604,3.45,3.3570098810748794,0.09299011892512077,2.6953657659455295
Melaza,%,2.0,-0.2547,3.48,3.374489677970739,0.1055103220292608,3.0319058054385293
Melaza,%,2.0,-0.2491,3.52,3.3931000701848144,0.1268999298151856,3.6051116424768637
Melaza,%,2.0,-0.2434,3.55,3.413513818202277,0.13648618179772276,3.8446811774006413
Melaza,%,2.0,-0.2377,3.58,3.435419724399411,0.14458027560058895,4.038555184373993
Melaza,%,2.0,-0.232,3.62,3.4588258865323587,0.16117411346764143,4.452323576454184
Melaza,%,2.0,-0.2262,3.65,3.484190945587581,0.1658090544124189,4.542713819518326
Melaza,%,2.0,-0.2205,3.67,3.510648332281027,0.15935166771897302,4.3420072947949055
Melaza,%,2.0,-0.2147,3.69,3.5391345875224633,0.1508654124775366,4.088493563076873
Melaza,%,2.0,-0.2088,3.72,3.5697398261443256,0.15026017385567458,4.039251985367596
Melaza,%,2.0,-0.203,3.76,3.601434896108674,0.1585651038913256,4.217157018386319
Melaza,%,2.0,-0.1971,3.81,3.6353211653851916,0.1746788346148085,4.584746315349304
Melaza,%,2.0,-0.1912,3.87,3.6708746596753645,0.19912534032463558,5.145357631127534
Melaza,%,2.0,-0.1852,3.9,3.7087492812521683,0.19125071874783162,4.903864583277734
Melaza,%,2.0,-0.1793,3.92,3.7476909985005733,0.17230900149942663,4.39563779335272
Melaza,%,2.0,-0.1733,3.96,3.7890284412567805,0.17097155874321945,4.317463604626754
Melaza,%,2.0,-0.1672,4.0,3.8328579546430204,0.16714204535697963,4.178551133924491
Melaza,%,2.0,-0.1612,4.03,3.8777511613744036,0.15224883862559668,3.777886814530935
Melaza,%,2.0,-0.1551,4.08,3.925213269518663,0.1547867304813373,3.7937924137582666
Melaza,%,2.0,-0.149,4.12,3.9745198642315476,0.14548013576845253,3.5310712565158378
Melaza,%,2.0,-0.1428,4.16,4.026533842615104,0.13346615738489653,3.2083210909830897
Melaza,%,2.0,-0.1367,4.2,4.079586093365285,0.12041390663471496,2.8669977770170227
Melaza,%,2.0,-0.1305,4.24,4.135424899022706,0.10457510097729461,2.4663938909739294
Melaza,%,2.0,-0.1242,4.28,4.194152877175023,0.08584712282497708,2.005773897779838
Melaza,%,2.0,-0.118,4.32,4.253914574507241,0.06608542549275942,1.5297552197398014
Melaza,%,2.0,-0.1117,4.36,4.316646814939741,0.043353185060259314,0.9943391068866815
Melaza,%,2.0,-0.1054,4.41,4.381410759425076,0.028589240574923735,0.6482820992046198
Melaza,%,2.0,-0.099,4.45,4.4492922597967866,0.0007077402032136249,0.01590427422951966
Melaza,%,2.0,-0.0927,4.5,4.518179002113101,-0.01817900211310075,0.40397782473557226
Melaza,%,2.0,-0.0862,4.55,4.591410220556821,-0.041410220556820754,0.9101147375125441
Melaza,%,2.0,-0.0798,4.6,4.6656649684301765,-0.06566496843017688,1.4274993136994976
Melaza,%,2.0,-0.0733,4.65,4.743273007653835,-0.09327300765383484,2.005871132340534
Melaza,%,2.0,-0.0668,4.68,4.823100375648103,-0.1431003756481033,3.057700334361182
Melaza,%,2.0,-0.0603,4.73,4.905156281254264,-0.17515628125426375,3.703092626940037
Melaza,%,2.0,-0.0537,4.8,4.9907641751260075,-0.19076417512600763,3.9742536484584923
Melaza,%,2.0,-0.0471,4.85,5.078688504644238,-0.2286885046442384,4.715226899881205
Melaza,%,2.0,-0.0405,4.92,5.1689385724937775,-0.2489385724937776,5.0597270832068615
Melaza,%,2.0,-0.0338,5.0,5.262944374763611,-0.2629443747636113,5.258887495272226
Melaza,%,2.0,-0.0271,5.07,5.359365889432327,-0.289365889432327,5.707413992748067
Melaza,%,2.0,-0.0204,5.14,5.458212489740325,-0.31821248974032557,6.1909044696561395
Melaza,%,2.0,-0.0136,5.23,5.5610235687097305,-0.33102356870973004,6.3293225374709365
Melaza,%,2.0,-0.0068,5.33,5.666351741267653,-0.3363517412676531,6.3105392357908645
Melaza,%,2.0,0.0,5.46,5.7742064259709815,-0.3142064259709816,5.754696446354974
Melaza,%,2.0,0.0143,5.7,6.009302911235675,-0.3093029112356751,5.426366863783773
Melaza,%,2.0,0.0286,6.0,6.255698031479419,-0.25569803147941883,4.261633857990313
Melaza,%,2.0,0.0428,6.34,6.5116315182445605,-0.1716315182445607,2.707121738873197
Melaza,%,2.0,0.0569,6.68,6.776943386669495,-0.09694338666949509,1.4512483034355552
Melaza,%,2.0,0.071,7.14,7.053470560425776,0.08652943957422377,1.2118969128042545
Melaza,%,2.0,0.085,7.51,7.339203442762115,0.17079655723788445,2.2742550897188343
Melaza,%,2.0,0.0989,7.84,7.633970603581123,0.2060293964188773,2.627925974730578
Melaza,%,2.0,0.1127,8.27,7.937597228355062,0.33240277164493737,4.0193805519339465
Melaza,%,2.0,0.1265,8.57,8.252224950334188,0.31777504966581205,3.7079935783642015
Melaza,%,2.0,0.1402,8.89,8.575512129382949,0.31448787061705197,3.537546351147941
Melaza,%,2.0,0.1539,9.0,8.909753989080464,0.09024601091953599,1.002733454661511
Melaza,%,6.0,-0.8438,3.0,3.0,0.0,0.0
Melaza,%,6.0,-0.8405,3.01,3.0,0.009999999999999787,0.3322259136212554
Melaza,%,6.0,-0.8372,3.02,3.0,0.020000000000000018,0.6622516556291397
Melaza,%,6.0,-0.8339,3.03,3.0,0.029999999999999805,0.9900990099009837
Melaza,%,6.0,-0.8306,3.04,3.0,0.040000000000000036,1.3157894736842117
Melaza,%,6.0,-0.8273,3.05,3.0,0.04999999999999982,1.6393442622950762
Melaza,%,6.0,-0.8239,3.06,3.0,0.06000000000000005,1.960784313725492
Melaza,%,6.0,-0.8206,3.07,3.0,0.06999999999999984,2.280130293159604
Melaza,%,6.0,-0.8172,3.07,3.0034354946169515,0.06656450538304837,2.168224931043921
Melaza,%,6.0,-0.8138,3.08,3.0175503602422094,0.06244963975779072,2.0275857064217764
Melaza,%,6.0,-0.8104,3.09,3.0314870823575504,0.05851291764244948,1.8936219301763586
Melaza,%,6.0,-0.807,3.1,3.0452479957607252,0.05475200423927484,1.766193685137898
Melaza,%,6.0,-0.8036,3.1,3.0588354272598597,0.041164572740140404,1.3278894432303356
Melaza,%,6.0,-0.8002,3.11,3.0722516956736374,0.03774830432636245,1.213771843291397
Melaza,%,6.0,-0.7967,3.12,3.0858862091663823,0.03411379083361776,1.093390731846723
Melaza,%,6.0,-0.7933,3.13,3.098962212174788,0.031037787825211716,0.9916226142240164
Melaza,%,6.0,-0.7898,3.14,3.11225132518401,0.027748674815990082,0.8837157584710216
Melaza,%,6.0,-0.7863,3.15,3.125368945109896,0.024631054890103865,0.7819382504794877
Melaza,%,6.0,-0.7829,3.16,3.137949919695922,0.02205008030407818,0.697787351394879
Melaza,%,6.0,-0.7794,3.17,3.1507367240805486,0.019263275919451317,0.6076743192255936
Melaza,%,6.0,-0.7758,3.18,3.1637176543210384,0.016282345678961807,0.5120234490239562
Melaza,%,6.0,-0.7723,3.19,3.1761740649885013,0.013825935011498647,0.43341489064259076
Melaza,%,6.0,-0.7688,3.2,3.1884713192514678,0.011528680748532416,0.360271273391638
Melaza,%,6.0,-0.7652,3.21,3.2009564514674924,0.00904354853250755,0.2817304838787399
Melaza,%,6.0,-0.7617,3.21,3.2129383327201655,-0.0029383327201655263,0.09153684486496967
Melaza,%,6.0,-0.7581,3.22,3.2251042170908466,-0.005104217090846408,0.15851605872193814
Melaza,%,6.0,-0.7545,3.22,3.2371121365684115,-0.017112136568411263,0.5314328126835796
Melaza,%,6.0,-0.7509,3.23,3.2489647070367624,-0.01896470703676245,0.5871426327171038
Melaza,%,6.0,-0.7473,3.23,3.260664534338014,-0.030664534338014082,0.9493663881738106
Melaza,%,6.0,-0.7436,3.23,3.272532920380268,-0.04253292038026801,1.3168086805036536
Melaza,%,6.0,-0.74,3.24,3.2839309765866265,-0.04393097658662626,1.3558943390934028
Melaza,%,6.0,-0.7363,3.25,3.295494661741845,-0.04549466174184502,1.3998357459029238
Melaza,%,6.0,-0.7327,3.26,3.3066015367505983,-0.04660153675059853,1.4294949923496483
Melaza,%,6.0,-0.729,3.27,3.317871362052607,-0.04787136205260678,1.463956026073602
Melaza,%,6.0,-0.7253,3.28,3.328996357124934,-0.04899635712493433,1.493791375760193
Melaza,%,6.0,-0.7216,3.29,3.3399792736762475,-0.04997927367624744,1.5191268594604084
Melaza,%,6.0,-0.7179,3.29,3.3508228522101486,-0.060822852210148604,1.8487189121625713
Melaza,%,6.0,-0.7141,3.3,3.3618173291450937,-0.06181732914509386,1.8732523983361775
Melaza,%,6.0,-0.7104,3.3,3.37238682728837,-0.07238682728837009,2.1935402208597
Melaza,%,6.0,-0.7066,3.31,3.3831055389269995,-0.07310553892699945,2.208626553685784
Melaza,%,6.0,-0.7028,3.32,3.3936888766623117,-0.07368887666231183,2.219544477780477
Melaza,%,6.0,-0.699,3.33,3.404139747749092,-0.07413974774909171,2.2264188513240755
Melaza,%,6.0,-0.6952,3.33,3.414461046975836,-0.08446104697583579,2.5363677770521256
Melaza,%,6.0,-0.6914,3.34,3.4246556566646618,-0.0846556566646619,2.5346004989419733
Melaza,%,6.0,-0.6876,3.35,3.4347264466713927,-0.08472644667139262,2.5291476618326154
Melaza,%,6.0,-0.6837,3.36,3.444936504440264,-0.08493650444026413,2.527872155960242
Melaza,%,6.0,-0.6798,3.37,3.455022224960242,-0.08502222496024192,2.5229146872475345
Melaza,%,6.0,-0.676,3.38,3.4647326609905775,-0.08473266099057764,2.5068834612596933
Melaza,%,6.0,-0.6721,3.39,3.47458187114354,-0.08458187114353999,2.495040446712094
Melaza,%,6.0,-0.6682,3.4,3.484315809364869,-0.08431580936486904,2.47987674602556
Melaza,%,6.0,-0.6642,3.41,3.494182756604724,-0.08418275660472396,2.468702539727975
Melaza,%,6.0,-0.6603,3.42,3.5036924363966193,-0.08369243639661939,2.4471472630590463
Melaza,%,6.0,-0.6563,3.44,3.5133356861549228,-0.07333568615492281,2.1318513417128724
Melaza,%,6.0,-0.6524,3.45,3.5226333856682785,-0.07263338566827837,2.1053155266167645
Melaza,%,6.0,-0.6484,3.47,3.5320654719660336,-0.0620654719660334,1.7886303160240176
Melaza,%,6.0,-0.6444,3.48,3.5413953823289415,-0.061395382328941484,1.7642351243948702
Melaza,%,6.0,-0.6404,3.49,3.5506262845601206,-0.060626284560120425,1.7371428240722182
Melaza,%,6.0,-0.6364,3.5,3.559761331157281,-0.059761331157281106,1.7074666044937459
Melaza,%,6.0,-0.6323,3.52,3.56902855659337,-0.04902855659336991,1.3928567214025542
Melaza,%,6.0,-0.6282,3.53,3.578201731373664,-0.048201731373664014,1.3654881408969977
Melaza,%,6.0,-0.6242,3.55,3.587063729776057,-0.03706372977605721,1.0440487260861184
Melaza,%,6.0,-0.6201,3.56,3.596060912547772,-0.036060912547771995,1.0129469816789887
Melaza,%,6.0,-0.616,3.58,3.604973947916374,-0.024973947916373973,0.6975963105132394
Melaza,%,6.0,-0.6118,3.59,3.614020567133597,-0.024020567133597126,0.6690965775375244
Melaza,%,6.0,-0.6077,3.61,3.622773323207616,-0.012773323207615928,0.35383166780099523
Melaza,%,6.0,-0.6035,3.62,3.6316626154290494,-0.011662615429049339,0.3221716969350646
Melaza,%,6.0,-0.5994,3.63,3.640268453668674,-0.010268453668674127,0.2828775115337225
Melaza,%,6.0,-0.5952,3.64,3.649014034454833,-0.009014034454832842,0.24763830919870441
Melaza,%,6.0,-0.591,3.65,3.6576920361946312,-0.007692036194631324,0.2107407176611322
Melaza,%,6.0,-0.5868,3.66,3.666305889925389,-0.006305889925388719,0.17229207446417266
Melaza,%,6.0,-0.5825,3.67,3.6750619414352146,-0.005061941435214656,0.1379275595426337
Melaza,%,6.0,-0.5783,3.68,3.6835563937767875,-0.003556393776787292,0.09664113523878512
Melaza,%,6.0,-0.574,3.68,3.6921972964445375,-0.012197296444537375,0.33144827294938517
Melaza,%,6.0,-0.5697,3.69,3.7007853175056358,-0.010785317505635827,0.2922850272530034
Melaza,%,6.0,-0.5654,3.7,3.709324037941996,-0.009324037941995655,0.252001025459342
Melaza,%,6.0,-0.5611,3.7,3.7178170182957064,-0.017817018295706255,0.48154103501908796
Melaza,%,6.0,-0.5567,3.71,3.7264638546194906,-0.016463854619490625,0.44376966629354786
Melaza,%,6.0,-0.5524,3.72,3.7348750968464692,-0.014875096846469038,0.39986819479755475
Melaza,%,6.0,-0.548,3.73,3.7434456434389993,-0.013445643438999344,0.36047301445038454
Melaza,%,6.0,-0.5436,3.74,3.7519831648591158,-0.011983164859115547,0.3204054775164584
Melaza,%,6.0,-0.5392,3.75,3.7604913651108287,-0.01049136511082871,0.2797697362887656
Melaza,%,6.0,-0.5348,3.76,3.768973925789524,-0.008973925789524273,0.23866823908309237
Melaza,%,6.0,-0.5303,3.77,3.7776265650844962,-0.007626565084496217,0.20229615608743282
Melaza,%,6.0,-0.5259,3.78,3.7860684269594405,-0.006068426959440654,0.16054039575239826
Melaza,%,6.0,-0.5214,3.79,3.794687027038405,-0.004687027038404956,0.12366825958852128
Melaza,%,6.0,-0.5169,3.8,3.8032941479773443,-0.003294147977344508,0.08668810466696074
Melaza,%,6.0,-0.5124,3.8,3.8118936069184812,-0.011893606918481403,0.3129896557495106
Melaza,%,6.0,-0.5078,3.81,3.82068019453601,-0.010680194536009768,0.2803200665619362
Melaza,%,6.0,-0.5033,3.82,3.8292757232035344,-0.009275723203534536,0.24281997915011877
Melaza,%,6.0,-0.4987,3.83,3.8380661424732336,-0.008066142473233562,0.21060424212098072
Melaza,%,6.0,-0.4941,3.84,3.846864425990278,-0.0068644259902779226,0.1787610934968209
Melaza,%,6.0,-0.4895,3.85,3.8556745186788346,-0.005674518678834506,0.147390095554143
Melaza,%,6.0,-0.4849,3.86,3.8645003386938805,-0.004500338693880668,0.11658908533369605
Melaza,%,6.0,-0.4802,3.87,3.873538316423418,-0.003538316423417953,0.09142936494620033
Melaza,%,6.0,-0.4755,3.88,3.8826008968872987,-0.002600896887298809,0.06703342493038168
Melaza,%,6.0,-0.4708,3.9,3.8916921727768488,0.008307827223151154,0.2130212108500296
Melaza,%,6.0,-0.4661,3.92,3.9008162076094637,0.019183792390536247,0.48938245894225124
Melaza,%,6.0,-0.4614,3.93,3.909977035728562,0.020022964271438237,0.5094901850238737
Melaza,%,6.0,-0.4567,3.94,3.9191786623036213,0.020821337696378617,0.5284603476238228
Melaza,%,6.0,-0.4519,3.95,3.928622310668973,0.021377689331027128,0.5412073248361298
Melaza,%,6.0,-0.4471,3.96,3.938116862755521,0.021883137244478768,0.552604475870676
Melaza,%,6.0,-0.4423,3.97,3.947666490639911,0.022333509360089376,0.5625569108334856
Melaza,%,6.0,-0.4375,3.98,3.95727533466156,0.022724665338440087,0.5709714909155801
Melaza,%,6.0,-0.4326,3.99,3.967149709571672,0.02285029042832809,0.5726889831661175
Melaza,%,6.0,-0.4278,4.01,3.97689072726209,0.033109272737909645,0.82566764932443
Melaza,%,6.0,-0.4229,4.03,3.986908493144507,0.04309150685549312,1.0692681601859335
Melaza,%,6.0,-0.418,4.04,3.9970050695043886,0.04299493049561143,1.064230952861669
Melaza,%,6.0,-0.413,4.05,4.007393331867522,0.04260666813247749,1.0520164970982095
Melaza,%,6.0,-0.4081,4.05,4.017662020596181,0.03233797940381855,0.7984686272547791
Melaza,%,6.0,-0.4031,4.07,4.028234616926869,0.04176538307313127,1.0261764882833235
Melaza,%,6.0,-0.3981,4.08,4.03890686684105,0.04109313315894969,1.0071846362487669
Melaza,%,6.0,-0.3931,4.09,4.049683120510688,0.040316879489312285,0.9857427747998113
Melaza,%,6.0,-0.3881,4.11,4.060567690741101,0.04943230925889974,1.2027325853746895
Melaza,%,6.0,-0.383,4.12,4.0717859738239435,0.048214026176056635,1.1702433537877823
Melaza,%,6.0,-0.3779,4.13,4.083125894571609,0.04687410542839121,1.134966233132959
Melaza,%,6.0,-0.3728,4.15,4.094591909616707,0.05540809038329364,1.335134708031172
Melaza,%,6.0,-0.3677,4.17,4.106188435145002,0.06381156485499773,1.5302533538368759
Melaza,%,6.0,-0.3626,4.18,4.117919846895429,0.06208015310457071,1.4851711269036056
Melaza,%,6.0,-0.3574,4.19,4.130024658323542,0.05997534167645835,1.4313924027794354
Melaza,%,6.0,-0.3522,4.2,4.1422787563694214,0.057721243630578734,1.374315324537589
Melaza,%,6.0,-0.347,4.22,4.1546866493683225,0.0653133506316772,1.5477097306084646
Melaza,%,6.0,-0.3418,4.24,4.167252801941865,0.0727471980581349,1.7157358032578987
Melaza,%,6.0,-0.3365,4.25,4.180228043510128,0.06977195648987156,1.6416930938793306
Melaza,%,6.0,-0.3312,4.26,4.1933769166856685,0.06662308331433131,1.563922143528904
Melaza,%,6.0,-0.3259,4.28,4.2067040084611245,0.07329599153887578,1.7125231667961631
Melaza,%,6.0,-0.3206,4.29,4.220213858654621,0.06978614134537864,1.6267165814773574
Melaza,%,6.0,-0.3152,4.3,4.234171224462553,0.06582877553744648,1.530901756684802
Melaza,%,6.0,-0.3098,4.32,4.248327675321912,0.07167232467808837,1.659081589770564
Melaza,%,6.0,-0.3044,4.33,4.262687861802146,0.06731213819785431,1.5545528452160349
Melaza,%,6.0,-0.299,4.34,4.277256383635791,0.06274361636420878,1.4457054461799257
Melaza,%,6.0,-0.2936,4.36,4.292037789718528,0.06796221028147276,1.5587662908594668
Melaza,%,6.0,-0.2881,4.37,4.307316411821297,0.0626835881787029,1.434407052144231
Melaza,%,6.0,-0.2826,4.39,4.322825240208358,0.06717475979164167,1.5301767606296508
Melaza,%,6.0,-0.2771,4.4,4.338568918567236,0.06143108143276432,1.3961609416537344
Melaza,%,6.0,-0.2715,4.41,4.354844882622336,0.0551551173776641,1.2506829337338798
Melaza,%,6.0,-0.266,4.42,4.371076450659654,0.04892354934034593,1.1068676321345232
Melaza,%,6.0,-0.2604,4.43,4.387858518742458,0.04214148125754136,0.9512749719535295
Melaza,%,6.0,-0.2547,4.45,4.405209685547267,0.04479031445273307,1.0065239202861362
Melaza,%,6.0,-0.2491,4.47,4.4225258167729615,0.047474183227038225,1.062062264586985
Melaza,%,6.0,-0.2434,4.48,4.440430074325148,0.03956992567485251,0.8832572695279577
Melaza,%,6.0,-0.2377,4.49,4.458620417829678,0.031379582170321996,0.6988771084704231
Melaza,%,6.0,-0.232,4.51,4.477101520174357,0.032898479825642646,0.7294563154244489
Melaza,%,6.0,-0.2262,4.54,4.496210066701141,0.04378993329885894,0.9645359757457916
Melaza,%,6.0,-0.2205,4.55,4.515291754822107,0.034708245177892394,0.7628185753382943
Melaza,%,6.0,-0.2147,4.58,4.535020772365132,0.044979227634867947,0.9820792060014836
Melaza,%,6.0,-0.2088,4.6,4.55541820291194,0.04458179708805954,0.9691695019143378
Melaza,%,6.0,-0.203,4.62,4.575797261489269,0.04420273851073109,0.9567692318340062
Melaza,%,6.0,-0.1971,4.63,4.596865364064026,0.033134635935973655,0.7156508841462993
Melaza,%,6.0,-0.1912,4.64,4.618278691880855,0.021721308119144744,0.46813164049880923
Melaza,%,6.0,-0.1852,4.67,4.640413766027587,0.029586233972413112,0.6335382006940709
Melaza,%,6.0,-0.1793,4.68,4.662537354463455,0.017462645536544308,0.37313345163556216
Melaza,%,6.0,-0.1733,4.69,4.685404041660958,0.004595958339042028,0.09799484731432893
Melaza,%,6.0,-0.1672,4.71,4.709037124428141,0.0009628755718589233,0.020443218086176714
Melaza,%,6.0,-0.1612,4.73,4.7326663532698845,-0.0026663532698840697,0.0563711050715448
Melaza,%,6.0,-0.1551,4.77,4.75708399647313,0.012916003526869169,0.2707757552802761
Melaza,%,6.0,-0.149,4.78,4.78190407824172,-0.0019040782417194535,0.039834272839319104
Melaza,%,6.0,-0.1428,4.79,4.8075480984984535,-0.017548098498453513,0.3663486116587372
Melaza,%,6.0,-0.1367,4.8,4.833193334541443,-0.03319333454144324,0.6915278029467342
Melaza,%,6.0,-0.1305,4.83,4.859685129794029,-0.029685129794028597,0.6145989605388943
Melaza,%,6.0,-0.1242,4.85,4.887048870024641,-0.03704887002464119,0.7638942273121895
Melaza,%,6.0,-0.118,4.88,4.91442032505815,-0.03442032505815007,0.7053345298801245
Melaza,%,6.0,-0.1117,4.91,4.942686909015932,-0.03268690901593185,0.665721161220608
Melaza,%,6.0,-0.1054,4.93,4.971415182406682,-0.041415182406682405,0.8400645518596838
Melaza,%,6.0,-0.099,4.95,5.001076663217002,-0.05107666321700144,1.031851782161645
Melaza,%,6.0,-0.0927,4.96,5.0307487275086125,-0.0707487275086125,1.4263856352542843
Melaza,%,6.0,-0.0862,4.98,5.061860120596854,-0.08186012059685321,1.643777522025165
Melaza,%,6.0,-0.0798,5.01,5.092990688726786,-0.08299068872678639,1.6565007729897483
Melaza,%,6.0,-0.0733,5.05,5.125117549334517,-0.07511754933451709,1.487476224445883
Melaza,%,6.0,-0.0668,5.09,5.157762454479467,-0.0677624544794675,1.331285942622151
Melaza,%,6.0,-0.0603,5.11,5.190929534223128,-0.08092953422312732,1.583748223544566
Melaza,%,6.0,-0.0537,5.13,5.225145300659646,-0.0951453006596461,1.8546842233849143
Melaza,%,6.0,-0.0471,5.18,5.25990767931747,-0.07990767931747023,1.5426192918430548
Melaza,%,6.0,-0.0405,5.23,5.295220656071678,-0.06522065607167793,1.2470488732634404
Melaza,%,6.0,-0.0338,5.24,5.331635833266276,-0.09163583326627567,1.7487754440128944
Melaza,%,6.0,-0.0271,5.28,5.368626341671491,-0.08862634167149075,1.6785291983236885
Melaza,%,6.0,-0.0204,5.31,5.4061959923646,-0.09619599236460008,1.8116006095028263
Melaza,%,6.0,-0.0136,5.34,5.444922348729059,-0.10492234872905915,1.964837991180883
Melaza,%,6.0,-0.0068,5.37,5.484252796941416,-0.11425279694141555,2.127612605985392
Melaza,%,6.0,0.0,5.41,5.524190940607664,-0.11419094060766355,2.110738273709123
Melaza,%,6.0,0.0143,5.57,5.6101765580121565,-0.04017655801215625,0.721302657309807
Melaza,%,6.0,0.0286,5.64,5.698895314494909,-0.058895314494908924,1.0442431648033497
Melaza,%,6.0,0.0428,5.72,5.789725823766016,-0.06972582376601633,1.2189829329723134
Melaza,%,6.0,0.0569,5.81,5.882635269830548,-0.07263526983054813,1.2501767612831005
Melaza,%,6.0,0.071,5.91,5.978275816948793,-0.06827581694879292,1.155259170030337
Melaza,%,6.0,0.085,5.98,6.075959626428472,-0.09595962642847145,1.604676027231964
Melaza,%,6.0,0.0989,6.06,6.175645391732241,-0.11564539173224109,1.9083397975617342
Melaza,%,6.0,0.1127,6.18,6.277289285430307,-0.0972892854303069,1.574260282043801
Melaza,%,6.0,0.1265,6.3,6.381610739050188,-0.08161073905018856,1.2954085563521995
